Scraped At (UTC),2026-09-07 07:45:14 UTC
Source URL,https://pmfby.gov.in/adminStatistics/dashboard

Table 1
Year,2018,2019,2020,2021,2022,2023,2024,2025,2026
Season: Kharif
Notification
States/UTs,24,22,20,21,21,21,23,24,25
Districts,472,492,420,463,471,496,536,548,547
Insurance Units,"1,47,505","1,54,464","1,27,135","1,21,462","1,40,681","1,41,307","1,49,226","1,46,925","1,54,738"
Agriculture Crops,34,37,36,26,33,30,40,40,43
Horticulture Crops,49,48,46,47,52,60,71,65,66
Coverage
Farmers,"2,32,56,797","2,15,78,164","1,89,06,275","1,68,45,752","2,00,58,814","2,52,68,201","2,96,29,227","2,29,76,591","2,56,00,758"
Applications (Loanee Farmers),"2,28,00,685","2,55,08,942","2,76,19,879","3,77,27,436","4,61,70,974","5,21,88,153","6,06,11,210","6,58,71,143","6,83,37,449"
Applications (Non-Loanee Farmers),"1,19,83,260","1,72,29,175","1,49,95,014","1,26,64,339","2,30,22,805","3,57,10,581","3,84,84,621","2,11,95,296","2,96,04,105"
Applications (PMFBY),"3,33,72,810","4,08,87,264","4,19,96,990","4,97,78,063","6,84,38,940","8,57,02,305","9,66,45,611","8,49,89,874","9,53,10,436"
Applications (RWBCIS),"14,11,135","18,50,853","6,17,903","6,13,712","7,54,839","21,96,429","24,50,220","20,76,565","26,31,118"
Area Insured PMFBY (Thousand Hect.),"30,745.39","32,150.52","28,210.43","24,789.65","26,331.53","31,413.93","32,746.10","25,977.69","27,874.82"
Area Insured RWBCIS (Thousand Hect.),"1,602.58","1,576.76",346.04,334.91,371.49,"1,119.74","1,214.40",960.11,"1,237.86"
Demographic Distribution
Male (%),81.32,81.26,82.89,83.97,82.64,82.32,81.5,82.79,81.84
Female (%),18.6,18.67,17.04,15.93,17.26,17.47,18.42,17.12,18.09
Others (%),0.08,0.08,0.08,0.09,0.09,0.21,0.08,0.09,0.07
SC (%),6.59,6.33,6.76,6.9,6.25,6.37,5.97,6.25,6.79
ST (%),6.45,7.87,8.43,9.36,8.53,8.88,8.57,8.95,8.78
GEN (%),46.86,40.54,37.07,31.39,29.01,34.29,37.49,37.54,40.54
OBC (%),40.11,45.26,47.74,52.35,56.22,50.46,47.97,47.26,43.89
Marginal Farmers (%),17.72,16.48,16.44,17.97,15.36,15.19,15.96,19.29,20.43
Small Farmers (%),64.89,67.26,67.28,62.06,65.42,68.39,68.26,62.68,63.53
Others (%),17.39,16.26,16.29,19.98,19.22,16.42,15.78,18.04,16.05
Premium & Sum Insured
Farmers Premium (In Lac.),"3,10,718","3,06,480","2,62,970","2,33,601","2,54,755","1,78,237","1,89,029","2,62,239","2,86,468"
State/UTs Premium (In Lac.),"9,16,177","10,74,246","9,32,276","8,60,368","9,29,438","10,50,596","10,70,440","6,03,057","5,00,104"
GoI Premium (In Lac.),"8,90,343","10,06,532","8,73,404","7,98,181","8,21,064","8,05,933","8,18,497","5,49,740","4,38,763"
Gross Premium (In Lac.),"21,17,238","23,87,258","20,68,650","18,92,150","20,05,257","20,34,766","20,77,966","14,15,036","12,25,335"
Sum Insured (In Lac.),"1,39,90,538","1,45,38,353","1,16,25,528","1,02,08,166","1,27,06,726","1,67,81,176","1,81,99,735","1,45,05,586","1,81,63,535"
Claim Paid (In Lac.)
Prevented Sowing,"28,684","65,607","4,038","11,238","9,924","6,267","5,484","10,168",0
Localized,"12,732","5,226","56,946","2,75,763","2,69,469","1,82,308","3,51,536","59,429",0
Mid-term,"5,453","15,440","6,281","76,338","88,066","3,09,124","76,703","60,002",0
Yield Based,"17,51,578","19,03,004","13,05,746","10,44,680","7,69,542","9,46,959","4,27,723","8,05,081",0
Post Harvest,"2,283","26,626","14,537","12,247","60,455","35,074","93,957","39,388",0
WBCIS,"1,87,148","1,92,965","58,875","81,821","1,27,020","1,61,471","1,79,323","13,191",0
Total Claim Paid,"19,87,878","22,08,868","14,46,423","15,02,087","13,24,476","16,41,203","11,34,726","9,87,259",0
Farmer Benefit PMFBY(Actual),"72,84,039","98,48,933","67,75,509","88,15,993","85,43,790","1,08,36,489","78,94,703","60,14,447",0
Farmer Benefit WBCIS(Actual),"11,54,647","11,59,763","2,64,906","4,54,368","4,92,520","6,82,227","9,96,929","1,03,823",0
Total Farmer Benefit(Actual),"84,38,686","1,10,08,696","70,40,415","92,70,361","90,36,310","1,15,18,716","88,91,632","61,18,270",0

Table 2
Year,2018,2019,2020,2021,2022,2023,2024,2025,2026
Season: Rabi
Notification
States/UTs,22,20,19,21,23,21,23,22,1
Districts,482,469,415,463,495,512,511,491,12
Insurance Units,"1,34,818","1,26,793","1,12,135","1,13,683","1,26,933","1,21,677","1,25,382","1,22,066",25
Agriculture Crops,38,38,36,37,46,45,46,41,2
Horticulture Crops,74,81,87,92,95,102,103,95,1
Coverage
Farmers,"1,54,81,408","1,08,22,909","1,05,46,804","1,03,87,717","1,13,54,148","1,38,88,668","1,23,21,088","1,09,20,340",32
Applications (Loanee Farmers),"1,36,50,690","1,34,53,835","1,22,75,579","2,39,65,680","3,41,24,867","3,55,95,717","3,89,39,092","4,25,98,274",1
Applications (Non-Loanee Farmers),"97,44,587","58,18,234","75,65,330","86,01,472","86,31,775","1,99,77,307","1,42,43,087","96,12,637",183
Applications (PMFBY),"2,26,61,564","1,85,25,151","1,94,42,479","3,21,78,370","4,22,21,728","5,46,40,388","5,25,25,932","5,13,05,527",184
Applications (RWBCIS),"7,33,713","7,46,918","3,98,430","3,88,782","5,34,914","9,32,636","6,56,247","9,05,384",0
Area Insured PMFBY (Thousand Hect.),"20,460.51","16,480.85","15,660.32","14,940.79","15,069.46","18,395.65","16,621.42","13,729.84",0.04
Area Insured RWBCIS (Thousand Hect.),"7,949.21","7,906.92","6,818.80","6,524.46","8,252.00","9,887.22","11,709.70","15,146.77",0.00
Demographic Distribution
Male (%),83.38,82.04,82.25,84.31,83.59,82.91,83.89,84.5,77.17
Female (%),16.55,17.87,17.67,15.59,16.32,17.02,16.03,15.42,22.83
Others (%),0.07,0.1,0.08,0.09,0.09,0.08,0.08,0.08,0
SC (%),6.99,6.37,6.95,6.95,6.77,5.8,5.38,5.81,2.17
ST (%),3.06,4.1,4.01,5.93,5.37,4.36,4.22,5.16,0
GEN (%),52.65,44.15,41.76,32.62,32.84,42.8,44.32,43.85,30.98
OBC (%),37.3,45.38,47.28,54.51,55.02,47.04,46.08,45.18,66.85
Marginal Farmers (%),19.12,18.16,17.4,18.13,15.81,16.05,18.08,19.69,9.78
Small Farmers (%),62.48,60.4,63.96,60.43,63.97,66.11,62.94,60.53,90.22
Others (%),18.4,21.44,18.64,21.44,20.22,17.84,18.97,19.78,0
Premium & Sum Insured
Farmers Premium (In Lac.),"1,66,614","1,41,925","1,41,917","1,38,682","1,40,776","1,42,143","1,45,199","1,49,791",1
State/UTs Premium (In Lac.),"3,46,718","3,52,542","5,22,008","5,41,344","5,39,130","4,24,052","3,45,701","2,45,910",1
GoI Premium (In Lac.),"3,36,677","3,46,275","4,33,681","4,32,298","4,20,223","3,63,340","3,07,946","2,52,198",1
Gross Premium (In Lac.),"8,50,009","8,40,742","10,97,606","11,12,324","11,00,129","9,29,535","7,98,846","6,47,899",3
Sum Insured (In Lac.),"95,08,183","76,01,688","83,25,187","78,24,652","86,50,886","1,06,89,326","99,36,699","86,95,559",30
Claim Paid (In Lac.)
Prevented Sowing,"41,695",0,0,0,"5,525","5,625",0,0,0
Localized,"3,513","21,795","12,598","19,287","35,786","45,144","21,977","15,484",0
Mid-term,"7,959","4,678",0,0,135,"1,235",56,112,0
Yield Based,"7,89,894","4,28,734","5,47,393","4,35,620","4,73,381","3,29,808","2,98,756","31,231",0
Post Harvest,200,71,881,"1,797","20,527","23,297","15,691","9,107",0
WBCIS,"1,04,373","1,39,675","52,123","98,428","1,30,672","1,44,584","1,32,606","21,721",0
Total Claim Paid,"9,47,634","5,94,953","6,12,995","5,55,132","6,66,026","5,49,693","4,69,086","77,655",0
Farmer Benefit PMFBY(Actual),"46,00,735","21,74,450","28,07,306","29,41,078","26,99,979","26,99,400","15,86,527","4,27,441",0
Farmer Benefit WBCIS(Actual),"4,83,074","4,56,705","2,13,592","2,13,765","2,99,838","2,78,706","2,05,069","38,795",0
Total Farmer Benefit(Actual),"50,83,809","26,31,155","30,20,898","31,54,843","29,99,817","29,78,106","17,91,596","4,66,236",0

